library_id,molecule_h5,sample_id
10XSTXBP1_49,/proj/snic2020-6-62/STXBP1/data_cr5/aligned_data/Counts_10XSTXBP1_49/outs/molecule_info.h5,10XSTXBP1_49
10XSTXBP1_48,/proj/snic2020-6-62/STXBP1/data_cr5/aligned_data/Counts_10XSTXBP1_48/outs/molecule_info.h5,10XSTXBP1_48
10XSTXBP1_60,/proj/snic2020-6-62/STXBP1/data_cr5/aligned_data/Counts_10XSTXBP1_60/outs/molecule_info.h5,10XSTXBP1_60
10XSTXBP1_50,/proj/snic2020-6-62/STXBP1/data_cr5/aligned_data/Counts_10XSTXBP1_50/outs/molecule_info.h5,10XSTXBP1_50
10XSTXBP1_62,/proj/snic2020-6-62/STXBP1/data_cr5/aligned_data/Counts_10XSTXBP1_62/outs/molecule_info.h5,10XSTXBP1_62
10XSTXBP1_64,/proj/snic2020-6-62/STXBP1/data_cr5/aligned_data/Counts_10XSTXBP1_64/outs/molecule_info.h5,10XSTXBP1_64
10XSTXBP1_65,/proj/snic2020-6-62/STXBP1/data_cr5/aligned_data/Counts_10XSTXBP1_65/outs/molecule_info.h5,10XSTXBP1_65
10XSTXBP1_67,/proj/snic2020-6-62/STXBP1/data_cr5/aligned_data/Counts_10XSTXBP1_67/outs/molecule_info.h5,10XSTXBP1_67
10XSTXBP1_53,/proj/snic2020-6-62/STXBP1/data_cr5/aligned_data/Counts_10XSTXBP1_53/outs/molecule_info.h5,10XSTXBP1_53
10XSTXBP1_81,/proj/snic2020-6-62/STXBP1/data_cr5/aligned_data/Counts_10XSTXBP1_81/outs/molecule_info.h5,10XSTXBP1_81
10XSTXBP1_59,/proj/snic2020-6-62/STXBP1/data_cr5/aligned_data/Counts_10XSTXBP1_59/outs/molecule_info.h5,10XSTXBP1_59
10XSTXBP1_66,/proj/snic2020-6-62/STXBP1/data_cr5/aligned_data/Counts_10XSTXBP1_66/outs/molecule_info.h5,10XSTXBP1_66
10XSTXBP1_54,/proj/snic2020-6-62/STXBP1/data_cr5/aligned_data/Counts_10XSTXBP1_54/outs/molecule_info.h5,10XSTXBP1_54
10XSTXBP1_55,/proj/snic2020-6-62/STXBP1/data_cr5/aligned_data/Counts_10XSTXBP1_55/outs/molecule_info.h5,10XSTXBP1_55
