Linear;Sex;DoB;AgeDay;AgeWeek;Genotype;TissueExtraction;LiveCellsPercent
171148;m;12/10/20;50;7;HZ;01/12/20;62
171149;m;12/10/20;50;7;WT;01/12/20;48
171150;m;12/10/20;51;7;HZ;03/12/20;73
171165;m;12/10/20;57;8;HZ;09/12/20;57
171166;m;12/10/20;62;9;HZ;14/12/20;58
171167;m;12/10/20;57;8;WT;09/12/20;59
171155;f;12/10/20;63;9;WT;15/12/20;60
171160;f;12/10/20;50;7;HZ;02/12/20;50
171162;f;12/10/20;52;7;HZ;04/12/20;56
171164;f;12/10/20;52;7;WT;04/12/20;56
171181;f;12/10/20;59;8;HZ;11/12/20;59
171153;f;12/10/20;58;8;WT;10/12/20;60
171154;m;12/10/20;63;9;WT;15/12/20;53
171159;f;12/10/20;59;8;WT;11/12/20;70
